x,y,color_group
1.0879308000,0.2773702400,2.0000000000
0.8160692000,0.6826297600,2.0000000000
0.8715000000,0.6000000000,2.0000000000
0.9269308000,0.5173702400,2.0000000000
0.8160692000,0.2026297600,2.0000000000
0.8715000000,0.1200000000,2.0000000000
0.9269308000,0.0373702400,2.0000000000
0.9770692000,-0.0373702400,2.0000000000
1.0325000000,-0.1200000000,2.0000000000
1.0879308000,-0.2026297600,2.0000000000
0.4690000000,-0.7200000000,2.0000000000
0.5140000000,-0.7200000000,2.0000000000
0.6300000000,-0.7200000000,2.0000000000
0.7460000000,-0.7200000000,2.0000000000
0.3330692000,-0.5173702400,2.0000000000
0.3885000000,-0.6000000000,2.0000000000
0.4439308000,-0.6826297600,2.0000000000
